,movie_and_date,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,index,tconst,primary_title,original_title,start_year,runtime_minutes,genres,profit,profit_ratio,profit_lmh
0,Higher Power_2018,67,2018-05-11,Higher Power,500000,528,528,2018,49123,tt2924392,Higher Power,Higher Power,2018,93.0,"Action,Sci-Fi,Thriller",-499472,0.001056,low
1,The Ghastly Love of Johnny X_2012,74,2012-10-26,The Ghastly Love of Johnny X,2000000,2436,2436,2012,16165,tt1754633,The Ghastly Love of Johnny X,The Ghastly Love of Johnny X,2012,106.0,"Comedy,Fantasy,Musical",-1997564,0.001218,low
2,10 Days in a Madhouse_2015,48,2015-11-11,10 Days in a Madhouse,12000000,14616,14616,2015,59400,tt3453052,10 Days in a Madhouse,10 Days in a Madhouse,2015,111.0,Drama,-11985384,0.001218,low
3,Area 51_2015,81,2015-05-15,Area 51,5000000,7556,7556,2015,8624,tt1519461,Area 51,Area 51,2015,91.0,"Horror,Sci-Fi,Thriller",-4992444,0.0015112,low
4,Freaks of Nature_2015,83,2015-10-30,Freaks of Nature,33000000,70958,70958,2015,18716,tt1817771,Freaks of Nature,Freaks of Nature,2015,92.0,"Comedy,Horror,Sci-Fi",-32929042,0.0021502424242424243,low
5,The Sleepwalker_2014,2,2014-11-21,The Sleepwalker,1100000,2636,2636,2014,45789,tt2723576,The Sleepwalker,The Sleepwalker,2014,91.0,Drama,-1097364,0.0023963636363636366,low
6,Trade of Innocents_2012,3,2012-10-05,Trade of Innocents,5800000,15091,15091,2012,16814,tt1772408,Trade of Innocents,Trade of Innocents,2012,88.0,"Drama,Thriller",-5784909,0.002601896551724138,low
7,Falcon Rising_2014,54,2014-09-04,Falcon Rising,4500000,11774,11774,2014,35169,tt2295722,Falcon Rising,Falcon Rising,2014,103.0,"Action,Adventure",-4488226,0.0026164444444444442,low
8,Born to Fly: Elizabeth Streb vs. Gravity_2014,65,2014-09-10,Born to Fly: Elizabeth Streb vs. Gravity,500000,1822,1822,2014,33369,tt2246526,Born to Fly: Elizabeth Streb vs. Gravity,Born to Fly: Elizabeth Streb vs. Gravity,2014,82.0,"Action,Biography,Documentary",-498178,0.003644,low
9,Windsor Drive_2015,51,2015-08-28,Windsor Drive,850000,3256,3256,2015,35697,tt2311428,Windsor Drive,Windsor Drive,2015,90.0,"Mystery,Thriller",-846744,0.0038305882352941177,low
10,Circle_2010,69,2010-08-27,Circle,2000000,10024,10024,2010,5635,tt1129412,Circle,Circle,2010,88.0,"Horror,Thriller",-1989976,0.005012,low
11,Salvation Boulevard_2011,31,2011-07-15,Salvation Boulevard,5500000,28468,28468,2011,6161,tt1251743,Salvation Boulevard,Salvation Boulevard,2011,96.0,"Action,Comedy,Drama",-5471532,0.005176,low
12,Drunk Wedding_2015,15,2015-05-22,Drunk Wedding,600000,3301,3301,2015,23294,tt1950135,Drunk Wedding,Drunk Wedding,2015,81.0,Comedy,-596699,0.005501666666666667,low
