,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,movie_and_date
0,1,2009-12-18,Avatar,"$425,000,000","$760,507,625","$2,776,345,279",2009,Avatar_2009
1,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,"$410,600,000","$241,063,875","$1,045,663,875",2011,Pirates of the Caribbean: On Stranger Tides_2011
2,3,2019-06-07,Dark Phoenix,"$350,000,000","$42,762,350","$149,762,350",2019,Dark Phoenix_2019
3,4,2015-05-01,Avengers: Age of Ultron,"$330,600,000","$459,005,868","$1,403,013,963",2015,Avengers: Age of Ultron_2015
4,5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,"$317,000,000","$620,181,382","$1,316,721,747",2017,Star Wars Ep. VIII: The Last Jedi_2017
5,6,2015-12-18,Star Wars Ep. VII: The Force Awakens,"$306,000,000","$936,662,225","$2,053,311,220",2015,Star Wars Ep. VII: The Force Awakens_2015
6,7,2018-04-27,Avengers: Infinity War,"$300,000,000","$678,815,482","$2,048,134,200",2018,Avengers: Infinity War_2018
7,8,2007-05-24,Pirates of the Caribbean: At Worldâs End,"$300,000,000","$309,420,425","$963,420,425",2007,Pirates of the Caribbean: At Worldâs End_2007
8,9,2017-11-17,Justice League,"$300,000,000","$229,024,295","$655,945,209",2017,Justice League_2017
9,10,2015-11-06,Spectre,"$300,000,000","$200,074,175","$879,620,923",2015,Spectre_2015
10,11,2012-07-20,The Dark Knight Rises,"$275,000,000","$448,139,099","$1,084,439,099",2012,The Dark Knight Rises_2012
11,12,2018-05-25,Solo: A Star Wars Story,"$275,000,000","$213,767,512","$393,151,347",2018,Solo: A Star Wars Story_2018
12,13,2013-07-02,The Lone Ranger,"$275,000,000","$89,302,115","$260,002,115",2013,The Lone Ranger_2013
13,14,2012-03-09,John Carter,"$275,000,000","$73,058,679","$282,778,100",2012,John Carter_2012
14,15,2010-11-24,Tangled,"$260,000,000","$200,821,936","$586,477,240",2010,Tangled_2010
15,16,2007-05-04,Spider-Man 3,"$258,000,000","$336,530,303","$894,860,230",2007,Spider-Man 3_2007
16,17,2016-05-06,Captain America: Civil War,"$250,000,000","$408,084,349","$1,140,069,413",2016,Captain America: Civil War_2016
17,18,2016-03-25,Batman v Superman: Dawn of Justice,"$250,000,000","$330,360,194","$867,500,281",2016,Batman v Superman: Dawn of Justice_2016
18,19,2012-12-14,The Hobbit: An Unexpected Journey,"$250,000,000","$303,003,568","$1,017,003,568",2012,The Hobbit: An Unexpected Journey_2012
19,20,2009-07-15,Harry Potter and the Half-Blood Prince,"$250,000,000","$302,089,278","$935,213,767",2009,Harry Potter and the Half-Blood Prince_2009
20,21,2013-12-13,The Hobbit: The Desolation of Smaug,"$250,000,000","$258,366,855","$960,366,855",2013,The Hobbit: The Desolation of Smaug_2013
21,22,2014-12-17,The Hobbit: The Battle of the Five Armies,"$250,000,000","$255,119,788","$945,577,621",2014,The Hobbit: The Battle of the Five Armies_2014
22,23,2017-04-14,The Fate of the Furious,"$250,000,000","$225,764,765","$1,234,846,267",2017,The Fate of the Furious_2017
23,24,2006-06-28,Superman Returns,"$232,000,000","$200,120,000","$374,085,065",2006,Superman Returns_2006
24,25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000","$172,558,876","$788,241,137",2017,Pirates of the Caribbean: Dead Men Tell No Tales_2017
25,26,2008-11-14,Quantum of Solace,"$230,000,000","$169,368,427","$591,692,078",2008,Quantum of Solace_2008
26,27,2012-05-04,The Avengers,"$225,000,000","$623,279,547","$1,517,935,897",2012,The Avengers_2012
27,28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,"$225,000,000","$423,315,812","$1,066,215,812",2006,Pirates of the Caribbean: Dead Manâs Chest_2006
28,29,2013-06-14,Man of Steel,"$225,000,000","$291,045,518","$667,999,518",2013,Man of Steel_2013
29,30,2008-05-16,The Chronicles of Narnia: Prince Caspian,"$225,000,000","$141,621,490","$417,341,288",2008,The Chronicles of Narnia: Prince Caspian_2008
30,31,2012-07-03,The Amazing Spider-Man,"$220,000,000","$262,030,663","$757,890,267",2012,The Amazing Spider-Man_2012
31,32,2012-05-18,Battleship,"$220,000,000","$65,233,400","$313,477,717",2012,Battleship_2012
32,33,2017-06-21,Transformers: The Last Knight,"$217,000,000","$130,168,683","$602,893,340",2017,Transformers: The Last Knight_2017
33,34,2015-06-12,Jurassic World,"$215,000,000","$652,270,625","$1,648,854,864",2015,Jurassic World_2015
